Question_ID,Question,Generated_Answer,Ground_Truth,Dense_MRR,Sparse_MRR,Hybrid_MRR,F1_Score,Hallucinated,Judge_Overall,Judge_Factual,Judge_Complete,Judge_Relevant,Judge_Coherent
qa_011,what year became christine belovits first movie in new us history according? Select all or DISapparage from?,"U.S. --- [Source 1: La Strada]  Spadaro, Antonio (30",Select all,0,0,0,0,No,3.9,2,5,5,4
qa_012,Until when World Sports Professional Football's main league won in World War Two.? Possible World Games World sports professional in america?,unanswerable (no option given). [Source 1: Softball] The WBSC holds world championships in several categories,World sports professional in america,0,0,0,0,No,3.9,2,5,5,4
qa_013,On what birth day in history took a baby of the Obama preteen whose body type can sometimes easily remember it for years :?. Select [|Commonly suggested]?,"4th of July, 2022 . --- [Source 1: Barack Obama] .","June 18, 1934",0,0,0,0,No,3.9,2,5,5,4
qa_014,"Who played Liverpool first? Choose Your words in the search results that best express their own interpretation of your opinion on this question by providing relevant information for the purpose being conveye, for instance an advertisement?",Huddersfield F.C. season. [Source 1: 1924–25 Cardiff City F.C. season,Manchester City,0,0,0,0,No,2.7,2,1,5,4
qa_015,When was Iowa league born and it finished 57-11????? °/?,"unanswerable (a) , 1921-05-07 , 0","September 2, 2014",0,0,0,0,No,3.9,2,5,5,4
qa_016,Which Polish entity did the secret police murder six members in Warstaale? Fact and name only.?,Wolno i Niezawiso (WiN),unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_017,What did they make in 2080 that Lake admired? Choose from listed categories [Folkulent/Mik/Thirtt+Dinner Music.] Option two Name Two Music?,Folkulent/Mik/Thirtt+Dinner Music,Folkulent/Mik/Thirtt+Dinner,0,0,0,0,No,3.9,2,5,5,4
qa_018,what show are mentioned only when there is an election coming into school tomorrow '50fpa?,La Strada Fellini vi. [Source 2: La Strada] Fellini vi. [Source 2: La Strada,Grey's Anatomy,0,0,0,0,No,3.9,2,5,5,4
qa_019,In late 2015 what is it commonly acknowledged? (2017 Census count - Wikipedia articles or archivd data provided under Wikipedia Hypocrisite of archivist (data not known but released under Wikipedia on a slam backing flanne?,Wikipedia articles or archivd data - Wikipedia pages or archived data,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_020,"Which cancer cell could hemeoxystically and immunochemical studies in other cell groups result?|Tnames=N2Y8S3 ,X9I,0?","human pancreatic INS-1 beta cells, apparently by inducing the expression of NOX1 (NADPH oxid",follicular Lymphoma,0,0,0,0,No,3.9,2,5,5,4
qa_021,From 1936 what sports athletes participated in 1936-96 Summer OLYMEA?,"Haitham Hazem , Amy Comerford, middle and long distance freestyler Kristen",unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_022,Who collected some books from 1968 through the spring 1972 to 1970'?,James Currey and others at HEB to republish work by major Caribbean writers.,[2]. [4]. [5]. [6]. [7].,0,0,0,0,No,3.9,2,5,5,4
qa_023,"What city has more than 100,000 buildings constructed during Hurricane season than Washington DC city centers combined to form Washington Capital Airport?","Washington, D.C. (United States). [citation needed.] [citation needed.]","Washington, D.C.",0,0,0,0,No,3.9,2,5,5,4
qa_024,What city in Egypt does Isaiah set forth their family from the Greek Cyclical Awakenments so?.Import language.Quatious?,"Telmessos, first son of Ptolemy I Epigone who was the first son",[3]. [4]. [5].,0,0,0,0,No,3.9,2,5,5,4
qa_025,"At what height does ""jo'lene frightens you"" be called besides Jayлnes? Name them first or what one first comes before them?",Kain (Legacy of Kain)] Now I understood why Moebius hated me so intensely,3 feet 6 inches (5.1 m),0,0,0,0,No,3.9,2,5,5,4
qa_026,What country were Sejyal- Vaidi and Sesy?,unanswerable  only possible way to answer this question is by quoting from the original article,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_027,What was the most beautiful building which stands today that was located next south?,"the Aon Center , is just south of Illinois Center . The final answer: the Aon Center",Innsbruck Cathedral ( Dom zu St. Jak,0,0,0,0,No,3.9,2,5,5,4
qa_028,Who had last playing role on their team and that would make for the winning game to decide whether to run it up any later i?,"Fred Keenor, though absolving his teammate of any blame in conceding the",Charles Woodson,0,0,0,0,No,3.9,2,5,5,4
qa_029,How were two American flags received? Choose your answerfrom Below. You would probably begin by entering how?,Confederate flags in the possession of the State Historical Society of Iowa . 1918. p. 4,blockade Southern port cities,0,0,0,0,No,3.9,2,5,5,4
qa_030,which party gained much greater visibility in 2002/9 as part of national preparation programs to rahmanbang?,Christian Democratic People's Party of Switzerland [Source 2: Christian Democratic People's Party of,Social Democratic Front,0,0,0,0,No,3.9,2,5,5,4
qa_031,Where was this the start of one album by Orange Carnival in February 2015 at? [TWILL IN A LARGER SKUPE] We couldn?,"On 26 February of that year, the group posted a teaser on their official Facebook page",(B). (C). (D). (A). (E).,0,0,0,0,No,3.9,2,5,5,4
qa_032,Where can we go with this comparison of Professor's activities as historian on Kauf?,Rankin has been described as a towering figure in Siouan linguistics,Smithsonian Insitution Rankin working with the last Quapaw speaker,0,0,0,0,No,3.9,2,5,5,4
qa_033,What years does Brown County grow most of your polluting activity in? How old is Black County near the start on EPA regulations? Choice t =?,unanswerable (a). (b). (c). (d). (e). (f).,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_034,Who was recruited as phytopotographer because? j?,European immigrants as a source of labor and to deliberately change the proportions of racial and ethnic groups,[3]. [4]. [5]. [6].,0,0,0,0,No,3.9,2,5,5,4
qa_035,In what place were Geronika Góuáleza de Navé? Choose its derivative. Refined English and Spanish; Urdu/Miri language/Cultéan French & Creol?,Buccaneers have been interchangeable in English since the 17th century (the six-year Anglo-Spanish War had ended,Refined English and Spanish,0,0,0,0,No,3.9,2,5,5,4
qa_036,Who was responsible and director or screen designer starring Arthur McDuldee who worked both largely from home in 1905 -- 1886?' FactOr Details of Arthur McDreyes' later life?,John Sjovald Hoseason Cunyngham-Brown (born 1905) was Acting Resident,Arthur McDuldee who worked both largely from home in 1905 -- 1886,0,0,0,0,No,3.9,2,5,5,4
qa_037,which of Ali beayed hal-Jaimulad izra'an Muhammad al Abdegli Abubakar bin Hamaheed iis guilty in order by iran?,"Mulla Kaka Hamma Sayf al-Din, Mulla Ali Mustafa",Sheikh al-Balad Khalil Bey,0,0,0,0,No,3.9,2,5,5,4
qa_038,How could two examples be replaced together to arrive not all 4 pairs ordered of parenthends that are connected to it without marking each individual pair the exact number it is that is in any pairs order?,lattice of order n . [Source 1: Tamari lattice] Tamari lattic,The outermost pair of parentheses is redundant and often omitted when naming the elements of Tamari lattice,0,0,0,0,No,3.9,2,5,5,4
qa_039,Which species of plants is larger: man-oaxace? Choice: which family? Hypotype1: mesodereum. Possible: fungonocarinoceremonile or maidonosaurusei. Nonidentic variety 2. Hyponotic choice1.?,Fungonocarinoceremonile or maidonosaurusei. Nonidentic,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_040,what has hippo type? ss y t?,Type 14 shares its chassis with a Beetle (though with a wider floorpan,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_041,How formally hast the book arrived to Europe but can you think what was made up? Choice.?,"unanswerable at the time of the writing of this passage, but can you think what was made",unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_042,which book did William Shakespeare published in the 1930/31 mid-20 30/30 publication c. 5 times and d. 81 or 5 books during their lives?,c. 5 times and d. 81 or 5 books during their lives?.,5 books during their lives,0,0,0,0,No,2.7,2,1,5,4
qa_043,How would other papers relate stories published before? Intended publication: Le News diplomatige?,Intended publication: Scribner's Monthly . This article grew from a remark to Roswell,Intended publication: Le Monde diplomatique,0,0,0,0,No,3.9,2,5,5,4
qa_044,Does immunodeaconsulpic?,"No, immunodeaconsulpic does not work well in patients with follicular lymphoma. [Source 1: Follicular Lymphoma",[2]. [3]. [4]. [5]. [6]. [7].,0,0,0,0,No,3.9,2,5,5,4
qa_045,"Who served three decades more and served lesstime, Aw Awian Abdur Razrir Amair Akhan Amia Aziz Husain Al Saheg in 1988 through 2002 to his divorce?","Eyad Alrababah, a Jordanian who later pleaded guilty to document fraud and was deported",RAWALPINDI: A former senior army officer Shahid Bashir,0,0,0,0,No,3.9,2,5,5,4
qa_046,Who produced the artwork for Grove  Streetillustres by amma andwest? The last people living there named Boiseye by west o'othewane?,Boise City funded Dwaine Carver's Historical Sight: Boise China,"Dwaine Carver's Historical Sight: Boise China, which consisted of three red viewers that featured images",0,0,0,0,No,3.9,2,5,5,4
qa_047,How were 855 obtained?,unanswerable (A). [Source 1: Method of complements] The expected answer is,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_048,"Which representative congratulatored Pashey' if this? [iPicture credit=0ed*Paseshay|Wilifax],_,Etaci?",In God We Trust as it appears on state symbols is regulated by laws governing their usage,Ottoman-appointed governors,0,0,0,0,No,3.9,2,5,5,4
qa_049,What title best ows more importance the Chinese or other language spoken in ancient China? Possible ways of doing so? [Oth] Three years ago or more in early 1630.?,Three years ago or more in early 1630.?.br />/br />,Three years ago or more in early 1630,0,0,0,0,No,3.9,2,5,5,4
qa_050,Which network remained strong throughout 1995'?,"ABC, NBC and Fox – Share Dominance  Berman, Marc (June 4, 2021) ""Thursday",Cartoon Network,0,0,0,0,No,3.9,2,5,5,4
qa_051,"Which actor portrayal in "" How Their Nationality Are Shapes"" made for greater recognition and success following the first installment or in seasons one to six? Where?","Louisa Adams --- [Source 2: Louisa Adams] Despite her success, Louisa was unhappy during her time in Russia",on History.com  How The States Got Their Shapes—Season 2—Episode Guide,0,0,0,0,No,3.9,2,5,5,4
qa_052,How often and often do Blood Momen Guests appear here / who play these games or where will they perform at events with us?. and why should we honor that name?,play these games or who will they perform these games or where will they perform these games / who play these games,[2]. [4]. [5]. [6]. [7]. [8].,0,0,0,0,No,3.9,2,5,5,4
qa_053,what happened the 15th season of premiership in gaboroto?,Jay Tyack (born 7 June 1996) is an English rugby union player who plays for Bristol Bears,[3]. [4]. [5]. [6].,0,0,0,0,No,3.9,2,5,5,4
qa_054,"Which literary and artistic societies published Winchelman'in recitation as heraldies? A summary answers the above choices, along the line?","Henry Fuseli's English translation, entitled Reflections on the Painting and Sculpture of the Greeks",[D]. [A]. [B]. [C].,0,0,0,0,No,3.9,2,5,5,4
qa_055,what had Saudi say could help them find new weapons for Boss II Baddi Fay al Gra'do?,army composed of the Somalis to end their plans. [Source 1: Garad Hirabu Goita Tedros,"anti-tank rockets, mortars and surface-to-air missiles",0,0,0,0,No,3.9,2,5,5,4
qa_056,How quickly should someone study American law while traveling to / through Texas BEACH compared ? Choose your answer only on Friday and do all of those?,"[Source 1: List of law school GPA curves] Temple University . December 30, 2024 . Retrieved December 30, 2024",[2]. [3]. [4]. [5]. [6]. [7].,0,0,0,0,No,2.7,2,1,5,4
qa_057,How far is Malam at?,2 km (1.2 mi) long Generala Drapina Street is made up of 400 trees,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_058,What result is expected the most people getting arrested or otherwise demollowed? Possible causes: +Proseful reasons?,Proseful reasons --- [Source 2: Human factors in diving safety] In commonwealth,Proseful reasons,0,0,0,0,No,3.9,2,5,5,4
qa_059,what are MS 1T 18 and M18 units equipped?,unanswerable (a). (b). (c). (d). (e). (f).,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_060,What country created Kikuyuna National Museum (KIMMUSBU). What place was in which KIKM was based during years 1835/1939?? Select from following questions to express more in terms?,unanswerable (no option given) [Source 1: Kikinda] Culture [ edit ],unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_061,How did ADOлFOWNYOFNSANNYAIZELOвоVIстнадленива страус ??,978-91-7797-082-8 . Retrieved 15 July 2025 . Rabinowitch,she was either imprisoned or kept under house arrest or internally exiled,0,0,0,0,No,3.9,2,5,5,4
qa_062,"Who took helm as John Bostick (in the movie Batman/Star Trek TV pilot show ), based in San Davner, Israel? Name two comics which did not go away - Batman: Crime or The Invictor' - first and what role will Boetti did?;?","De Laurentiis saw an opportunity to replace Masina, whom he had never wanted",[3]. [4]. [5]. [6].,0,0,0,0,No,3.9,2,5,5,4
qa_063,How did the Roman Law affect religion later? Options may involve?,"capital punishment in its various forms, with distinction between honestiores and humiliores",It made it easier for couples to marry without the need to prove they were not practicing,0,0,0,0,No,3.9,2,5,5,4
qa_064,From Which Source?,"59.  Okker 2008 , p. 1059.  Ellsworth 1919",Konejung Stiftung: Kultur,0,0,0,0,No,3.9,2,5,5,4
qa_065,How are authors known for written e books? Possible answers:?,unanswerable (as no option was given) During the late 20th century,authors who wrote e-books are known for written e books.,0,0,0,0,No,4.8,5,5,5,4
qa_066,Where else had David grown so far since retiring?page=sln> section name> David Gray had lived on an unicycle before going off in 1904.hashscripttype>Yard title=Ddavi_Graam he had worked all ten years before?,unanswerable (abbreviate (a) ) (b) (c) (d),unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_067,"Which event coincided or overlap with Opera Day on April 23, 1947? Available methods Of Collective Concludictors Select an event (I) and/Or?",AEW. [source 1: Gheorghe A. Lăzăreanu-Lăzurică],Second phase [ edit ] Main article: Operation Queen A German infantry gun firing in defense against a U.S. attack on 22 November 1944 in the Hürtgen forest,0,0,0,0,No,3.9,2,5,5,4
qa_068,"what number is included on all game times the player was called out as being good ready, outplayable and capable?",ten players. --- [Source 1: List of San Jose Earthquakes players],"GOAL ""World-Class Club",0,0,0,0,No,3.9,2,5,5,4
qa_069,"what language did this typeface mean that Xiungn could translate ""yello"" from Japanese. [npdbi:tueai.hunnallar?","""The Account of Dayuan ,"" Columbia University Press. Revised Edition. ISBN 0-231-08166-9 ; ISBN 0-231-08167",unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_070,How were car encykrophone inventor ages before motorway racing in 1936 merged and automobiles enlargered around 1900 compared? The?,"Type 14 Karmann Ghia produced 65 hp (48 kW) at 4,600 rpm and had",[3]. [4]. [5]. [6]. [7]. [8].,0,0,0,0,No,3.9,2,5,5,4
qa_071,why didn? Pick any relevant facts from?,"[Source 2: In God We Trust]  ""Why Is This Significant?"" . In God We Trust",Jell-O was relatively unaffected on social media by allegations against Cosby,0,0,0,0,No,3.9,2,5,5,4
qa_072,As long when was Sick or Sever? In early 1960s and mid/late 90?,mid/late '60s and mid/late '80s?. br />,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_073,Why or why didnâ€” unable?,This was one of the reasons for naming the former currency the kuna (used 1994–2023),[3]. [4]. [5]. [6].,0,0,0,0,No,3.9,2,5,5,4
qa_074,why should i see pictures when purchasing cpap table from hcty? [quota&neighvaru00a4do?,the chest is seen as though it were viewed from above the patient's head. The dark spaces to the left and,[3]. [4]. [5]. [6]. [7].,0,0,0,0,No,3.9,2,5,5,4
qa_075,How could these changes impact this healthcare reform measure through policy? Available possibilities:?,many commentators credit Obama with averting a threatened depression and pulling the economy back from the Great Recession,(A). (B). (C).,0,0,0,0,No,3.9,2,5,5,4
qa_076,"Why ""Experiements at Live Aid"" became popular more than years have to share? Possible?",Duran Duran . [Source 1: Bill Cosby in advertising] What Were They Thinking: Marketing Lessons You Can Learn,It also came in at #6 in Spain and #8 in China,0,0,0,0,No,3.9,2,5,5,4
qa_077,Who originally spoke out condemning Kendher on both AfroCheses?,"African-American television series of the 1990's and early '80's, they are still regarded as the first major black-american television series of the 1990's",Egyptologist Zahi Hawass,0,0,0,0,No,3.9,2,5,5,4
qa_078,Where in American waters do all three events took off occur? Select one below?,Diageo Company History . One attempts to identify who was involved in a deviation from Diageo Company History,near Tirpitz,0,0,0,0,No,3.6,1,5,5,4
qa_079,In which region does Long City a Asian community grow out west in recent time mainly Asian immigran.?,"southern Brooklyn and Lower Manhattan, The new Asian residents are mainly Chinese, Bengalis, Koreans, and Japanese",southern Brooklyn and Lower Manhattan,0,0,0,0,No,3.9,2,5,5,4
qa_080,In what year do records come up?Optiomed1: March 16 .March 2 3.November 4.?,"2013  ""Certifications of September 2013"" (in Japanese). Recording Industry Association of Japan",[2]. [3]. [4]. [5]. [6].,0,0,0,0,No,3.9,2,5,5,4
qa_081,When did Johann Ludwig Heisrich Winckeman write to Kan and Friedrich Frey? *Optimally When?,"1752, he mentioned the ""lust"" which could be experienced with the ""divine monarch",[2]. [3]. [4]. [5]. [6].,0,0,0,0,No,3.9,2,5,5,4
qa_082,What side beat Dianamá 2 to tie their record of most points away is mentioned later? Available?,Holyrood Hippogriffs (Scotland) and Werewolves of London,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_083,"How tall on both end did it go as it passed out for about an minute?? Choose 1 answer to that from this excerpt. Select None after answering (iv), so this answer fits below . Fact3 Fact12 Name n?","minuend. [Source 1: Method of complements] 126 [nines' complement of x] + 218 [y, the subtrahend] 344 [999 - x + y] 3. Now calculate the nines' complement of the result 344 [result] 655 [nines' complement of 344 = 999 - (999 - x + y) = x - y, the correct answer]",None of the above choices,0,0,0,0,No,2.4,1,1,5,4
qa_084,what lasted only 750 miles?,unanswerable (a). [b]. [c]. [d]. [e]. [f].,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_085,"Which editors referred are available online, either directly or indirectly?",seal between the panel and the funnel and on the funnel --- [Source 1: James Heisig],[3]. [4]. [5]. [6]. [7].,0,0,0,0,No,3.9,2,5,5,4
qa_086,what event has taken as many minutes during 2003 x?,journey from Jurong East to Redhill took approximately 90 minutes instead of the usual 21 minutes.,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_087,Which occurred second most recently (in 1488/146-108) it would happened last then before tul bahay became infuriant? Selectfrom these choices E3B2d2F 3K9 D20d2FC7A&Numb8k6U&N3W9PQV5N&S3K3q2P1KZ1&CQR2YY3A&3W1L6c1R?,"story progresses to advance the story, such as like how to engage a monster or which way to follow Cheryl",D20d2FC7A&Numb8k6U&N3W9PQV5N&S3K3q2P1KZ1&CQR2YY3,0,0,0,0,No,3.9,2,5,5,4
qa_088,w what ancestral groups do We question how the leader dng killed his followers in 128? SelectfromAnses: FactFaceOlivate: https:.-двалораланнувилануек.OraCLEOptiOnCatholicParages.Pur>Webinaries;?,871 after prolonged suffering. --- [Source 2: Anglophone Crisis] [Source 1: Cenn Fáela,FactFaceOlivate: https:.-двалороланнувилануек.OraCLEOptiOnCatholicParages.Pur>Webinaries,0,0,0,0,No,3.9,2,5,5,4
qa_089,Who didn't improve over time?,Bill Cosby's ads had a price tag of $30 million. [Source 1],Iannone and Lorenzo,0,0,0,0,No,2.7,2,1,5,4
qa_090,who is the subject who was revealed into divine form in this painting by Krishna Bhanthashwaranjwanandata (Shahi Swaravsaprabhanaji järjemupadyoshikprakripadha?,"monk at the Kyototemple of Shkoku-ji , created in the painting Reading","Guru Pema Gyalpo of Oddiyana , meaning ""Lotus King"", king of the Tripitaka (the Three Collections of Scripture",0,0,0,0,No,3.9,2,5,5,4
qa_091,"Question | Who published these articles under ""Disting Energy Vision"", being inactive today?","Stutzman --- [Source 1: Cathode-Ray Tube] Annalen der Physik und Chemie . 60 (3): 552– 559 . Retrieved 10 November 2021 .  Lehrer, Norman, H. (1985). ""The Challenge of the Cathode-Ray Tube"".",[2]. [3]. [4]. [5]. [6].,0,0,0,0,No,3.9,2,5,5,4
qa_092,Which of his titles did this book have on-demand downloads?,"The Macmillan Story (PDF) . Macmillan Publishers . 2017, p. 35",The Destruction of Black Civilization,0,0,0,0,No,3.9,2,5,5,4
qa_093,Where there more broadcasting formats than international outlets in 2010 and 2016 and in which century is the current tv standard? Answer from start-date data collection method The purpose in this article statement was solemiptian?,"To answer the question, we should know that: [source 1: UNTV] The programs shown on the network are produced","To answer the question, consider the following sentence: In 2016, UNTV reporters started delivering pre-recorded reports in different languages",0,0,0,0,No,3.9,2,5,5,4
qa_094,"At which hour, how old is Cesar Peal de Santa Baratl? Possible alternative terms to Juan Carlos Poel of Mexico according to US Secret and State Department. Choose 1 Hypothetically). (10 days. 10 nights). 12 days after 7 am?",L (Luis Leandro López López López López López López,12 days after 7 am,0,0,0,0,No,3.9,2,5,5,4
qa_095,"What two titles listed for MVIS readers were given below in part in Enges books released earlier the month (November 2007 ), one published at Enn or one published four months sooner?","one published four months sooner, one published four months earlier or one published four months earlier?.",one published four months sooner,0,0,0,0,No,2.4,1,1,5,4
qa_096,To obtain specific details how many entries had to be selected? Possible topics to be examined?,categories of error [ edit ] Reason [ edit ] Levels of performance [ edit ] Skill-based: Routine,not all entries are sorted by last name,0,0,0,0,No,3.9,2,5,5,4
qa_097,"How should citizens and others not use ""S help man do god"". This was first introduced when Pope Piols Attol was speaking the Pope in 419 BC?._? Available on selection?","In God We Trust,"" and the phrase appears only as an aside in a few of the Court's opinions","tax exemption of churches, chaplaincies in the armed forces",0,0,0,0,No,3.9,2,5,5,4
qa_098,Who billed his movie? 1. Which director? (2) Artist or critic consulted by them and they did agree to pay?,"1. Charlyne Yi worked with Franco on The Disaster Artist . In April 2021, Yi stated that after they attempted to quit the film",1. Fellini,0,0,0,0,No,3.9,2,5,5,4
qa_099,Where have they recorded rates among individuals on elimir storage and disposal of recycling products between 1980–2009 attributed ? The datasets from these studies primarily came up online or have also not recently been updated?,have also not recently been updated (or have also not recently been updated (or had also not recently been updated,unanswerable,0,0,0,0,No,3.9,2,5,5,4
qa_100,Where can people look back 25+y years ahead? = + + + 100years = 200 years after his murder-theor .seman.axforduniversels?,TV shipments fall for the first time . CNET . [Source 1: List of German inventions and discoveries] Retrieved 21 October 2022 . Retrieved 2024-01-27,200 years after his murder-theor .seman.axforduniversels,0,0,0,0,No,3.9,2,5,5,4
